timestamp,road_name,flow_vehicle_per_hour,avg_speed_kmh,precipitation_mm,is_holiday,is_raining
2024-01-01 00:00:00,Jalan Jenderal Sudirman,107,49.03,8,0,1
2024-01-01 00:15:00,Jalan Jenderal Sudirman,157,58.63,0,0,0
2024-01-01 00:30:00,Jalan Jenderal Sudirman,139,44.3,8,0,1
2024-01-01 00:45:00,Jalan Jenderal Sudirman,145,54.44,0,0,0
2024-01-01 01:00:00,Jalan Jenderal Sudirman,96,57.1,0,0,0
2024-01-01 01:15:00,Jalan Jenderal Sudirman,59,48.48,6,0,1
2024-01-01 01:30:00,Jalan Jenderal Sudirman,121,58.33,0,0,0
2024-01-01 01:45:00,Jalan Jenderal Sudirman,114,52.54,0,0,0
2024-01-01 02:00:00,Jalan Jenderal Sudirman,80,45.43,16,0,1
2024-01-01 02:15:00,Jalan Jenderal Sudirman,63,51.69,0,0,0
2024-01-01 02:30:00,Jalan Jenderal Sudirman,188,55.57,3,0,1
2024-01-01 02:45:00,Jalan Jenderal Sudirman,57,55.12,0,0,0
2024-01-01 03:00:00,Jalan Jenderal Sudirman,78,52.06,0,0,0
2024-01-01 03:15:00,Jalan Jenderal Sudirman,93,49.75,0,0,0
2024-01-01 03:30:00,Jalan Jenderal Sudirman,189,56.28,0,0,0
2024-01-01 03:45:00,Jalan Jenderal Sudirman,148,59.39,0,0,0
2024-01-01 04:00:00,Jalan Jenderal Sudirman,183,53.71,0,0,0
2024-01-01 04:15:00,Jalan Jenderal Sudirman,100,51.85,0,0,0
2024-01-01 04:30:00,Jalan Jenderal Sudirman,152,53.32,0,0,0
2024-01-01 04:45:00,Jalan Jenderal Sudirman,87,52.69,0,0,0
2024-01-01 05:00:00,Jalan Jenderal Sudirman,885,32.08,0,0,0
2024-01-01 05:15:00,Jalan Jenderal Sudirman,1022,37.88,0,0,0
2024-01-01 05:30:00,Jalan Jenderal Sudirman,913,42.97,0,0,0
2024-01-01 05:45:00,Jalan Jenderal Sudirman,849,37.6,0,0,0
2024-01-01 06:00:00,Jalan Jenderal Sudirman,2466,15.82,9,0,1
2024-01-01 06:15:00,Jalan Jenderal Sudirman,2194,20.71,0,0,0
2024-01-01 06:30:00,Jalan Jenderal Sudirman,2092,12.36,7,0,1
2024-01-01 06:45:00,Jalan Jenderal Sudirman,1793,16.58,0,0,0
2024-01-01 07:00:00,Jalan Jenderal Sudirman,1558,18.12,0,0,0
2024-01-01 07:15:00,Jalan Jenderal Sudirman,2342,5.0,19,0,1
2024-01-01 07:30:00,Jalan Jenderal Sudirman,1631,21.6,0,0,0
2024-01-01 07:45:00,Jalan Jenderal Sudirman,2352,25.84,0,0,0
2024-01-01 08:00:00,Jalan Jenderal Sudirman,2282,17.31,0,0,0
2024-01-01 08:15:00,Jalan Jenderal Sudirman,1514,22.01,0,0,0
2024-01-01 08:30:00,Jalan Jenderal Sudirman,1713,22.9,0,0,0
2024-01-01 08:45:00,Jalan Jenderal Sudirman,1855,17.78,0,0,0
2024-01-01 09:00:00,Jalan Jenderal Sudirman,2441,21.17,0,0,0
2024-01-01 09:15:00,Jalan Jenderal Sudirman,1695,20.14,0,0,0
2024-01-01 09:30:00,Jalan Jenderal Sudirman,2252,15.77,0,0,0
2024-01-01 09:45:00,Jalan Jenderal Sudirman,2418,18.53,0,0,0
2024-01-01 10:00:00,Jalan Jenderal Sudirman,1034,33.46,1,0,1
2024-01-01 10:15:00,Jalan Jenderal Sudirman,943,21.7,21,0,1
2024-01-01 10:30:00,Jalan Jenderal Sudirman,946,36.99,0,0,0
2024-01-01 10:45:00,Jalan Jenderal Sudirman,920,33.51,0,0,0
2024-01-01 11:00:00,Jalan Jenderal Sudirman,815,35.41,0,0,0
2024-01-01 11:15:00,Jalan Jenderal Sudirman,842,36.34,0,0,0
2024-01-01 11:30:00,Jalan Jenderal Sudirman,997,35.12,0,0,0
2024-01-01 11:45:00,Jalan Jenderal Sudirman,938,20.04,16,0,1
2024-01-01 12:00:00,Jalan Jenderal Sudirman,922,35.75,0,0,0
2024-01-01 12:15:00,Jalan Jenderal Sudirman,803,35.26,0,0,0
2024-01-01 12:30:00,Jalan Jenderal Sudirman,865,35.12,0,0,0
2024-01-01 12:45:00,Jalan Jenderal Sudirman,1145,34.41,0,0,0
2024-01-01 13:00:00,Jalan Jenderal Sudirman,983,33.96,0,0,0
2024-01-01 13:15:00,Jalan Jenderal Sudirman,843,35.27,0,0,0
2024-01-01 13:30:00,Jalan Jenderal Sudirman,959,36.3,0,0,0
2024-01-01 13:45:00,Jalan Jenderal Sudirman,856,28.72,2,0,1
2024-01-01 14:00:00,Jalan Jenderal Sudirman,1109,34.78,0,0,0
2024-01-01 14:15:00,Jalan Jenderal Sudirman,927,37.71,0,0,0
2024-01-01 14:30:00,Jalan Jenderal Sudirman,1007,36.77,0,0,0
2024-01-01 14:45:00,Jalan Jenderal Sudirman,1003,33.22,0,0,0
2024-01-01 15:00:00,Jalan Jenderal Sudirman,943,33.1,0,0,0
2024-01-01 15:15:00,Jalan Jenderal Sudirman,865,34.53,0,0,0
2024-01-01 15:30:00,Jalan Jenderal Sudirman,1022,33.21,0,0,0
2024-01-01 15:45:00,Jalan Jenderal Sudirman,968,37.0,0,0,0
2024-01-01 16:00:00,Jalan Jenderal Sudirman,2414,11.1,0,0,0
2024-01-01 16:15:00,Jalan Jenderal Sudirman,2351,12.95,0,0,0
2024-01-01 16:30:00,Jalan Jenderal Sudirman,2056,18.55,0,0,0
2024-01-01 16:45:00,Jalan Jenderal Sudirman,2691,10.88,0,0,0
2024-01-01 17:00:00,Jalan Jenderal Sudirman,2994,11.67,0,0,0
2024-01-01 17:15:00,Jalan Jenderal Sudirman,2702,15.08,0,0,0
2024-01-01 17:30:00,Jalan Jenderal Sudirman,2500,16.03,0,0,0
2024-01-01 17:45:00,Jalan Jenderal Sudirman,2980,15.55,0,0,0
2024-01-01 18:00:00,Jalan Jenderal Sudirman,1967,5.0,19,0,1
2024-01-01 18:15:00,Jalan Jenderal Sudirman,2269,14.22,0,0,0
2024-01-01 18:30:00,Jalan Jenderal Sudirman,2735,10.8,0,0,0
2024-01-01 18:45:00,Jalan Jenderal Sudirman,2680,8.13,3,0,1
2024-01-01 19:00:00,Jalan Jenderal Sudirman,1951,21.82,0,0,0
2024-01-01 19:15:00,Jalan Jenderal Sudirman,2244,14.6,0,0,0
2024-01-01 19:30:00,Jalan Jenderal Sudirman,2570,10.5,0,0,0
2024-01-01 19:45:00,Jalan Jenderal Sudirman,2221,15.54,0,0,0
2024-01-01 20:00:00,Jalan Jenderal Sudirman,925,29.1,0,0,0
2024-01-01 20:15:00,Jalan Jenderal Sudirman,868,38.12,0,0,0
2024-01-01 20:30:00,Jalan Jenderal Sudirman,822,35.42,0,0,0
2024-01-01 20:45:00,Jalan Jenderal Sudirman,822,33.48,0,0,0
2024-01-01 21:00:00,Jalan Jenderal Sudirman,983,30.5,1,0,1
2024-01-01 21:15:00,Jalan Jenderal Sudirman,1063,31.86,0,0,0
2024-01-01 21:30:00,Jalan Jenderal Sudirman,1156,24.75,6,0,1
